vehicle_id,trip_start_date,date_updated,position_longitude,trip_schedule_relationship,position_speed,vehicle_current_status,trip_route_id,position_odometer,vehicle_label,trip_id,position_latitude,geographic_point
449,20200428,2020-05-19 18:00:04,-99.17040252685547,0,5,1,301,0,391,9736737,19.403499603271484,"19.4034996033,-99.1704025269"
450,20200428,2020-05-19 18:00:04,-99.14089965820312,0,6,2,301,0,392,9737013,19.394500732421875,"19.3945007324,-99.1408996582"
452,20200428,2020-05-19 18:00:04,-99.04769897460938,0,0,2,301,0,394,9738322,19.391000747680664,"19.3910007477,-99.0476989746"
22,20200428,2020-05-19 18:00:04,-99.15409851074219,0,1,2,1,560,422,9685769,19.419599533081055,"19.4195995331,-99.1540985107"
28,20200428,2020-05-19 18:00:04,-99.15450286865234,0,7,1,1,0,428,9684465,19.4960994720459,"19.496099472,-99.1545028687"
35,20200428,2020-05-19 18:00:04,-99.14820098876953,0,1,2,1,0,435,9684361,19.479400634765625,"19.4794006348,-99.1482009888"
39,,2020-05-19 18:00:04,-99.15589904785156,2,0,2,,288,439,,19.3971004486084,"19.3971004486,-99.1558990479"
51,,2020-05-19 18:00:04,-99.15589904785156,2,0,2,,294,451,,19.3971004486084,"19.3971004486,-99.1558990479"
53,20200428,2020-05-19 18:00:04,-99.1604995727539,0,13,2,1,369,453,9684965,19.511999130249023,"19.5119991302,-99.1604995728"
1147,20200428,2020-05-19 18:00:04,-99.14859771728516,0,7,1,1,0,461,9684137,19.44059944152832,"19.4405994415,-99.1485977173"
985,20200428,2020-05-19 18:00:04,-99.1498031616211,0,5,1,1,0,471,9685140,19.483999252319336,"19.4839992523,-99.1498031616"
472,20200428,2020-05-19 18:00:04,-99.15249633789062,0,0,1,241,0,514,9755255,19.44219970703125,"19.442199707,-99.1524963379"
473,20200428,2020-05-19 18:00:04,-99.15029907226562,0,6,1,241,0,515,9755166,19.43160057067871,"19.4316005707,-99.1502990723"
474,20200428,2020-05-19 18:00:04,-99.11979675292969,0,5,1,241,0,516,9755075,19.425199508666992,"19.4251995087,-99.1197967529"
496,20200428,2020-05-19 18:00:04,-99.15260314941406,0,4,2,241,203,538,9755218,19.440900802612305,"19.4409008026,-99.1526031494"
500,20200428,2020-05-19 18:00:04,-99.11620330810547,0,0,2,241,558,542,9755398,19.427200317382812,"19.4272003174,-99.1162033081"
506,20200428,2020-05-19 18:00:04,-99.12689971923828,0,4,1,241,0,548,9755325,19.436800003051758,"19.4368000031,-99.1268997192"
511,20200428,2020-05-19 18:00:04,-99.13639831542969,0,5,1,241,0,553,9755704,19.42970085144043,"19.4297008514,-99.1363983154"
562,20200428,2020-05-19 18:00:04,-99.0896987915039,0,0,2,161,499,619,9679510,19.497400283813477,"19.4974002838,-99.0896987915"
10000,20200428,2020-05-19 18:00:04,-99.11509704589844,0,7,2,161,85,620,9679007,19.432100296020508,"19.432100296,-99.1150970459"
1078,20200428,2020-05-19 18:00:04,-99.0885009765625,0,0,2,61,430,705,9741423,19.474700927734375,"19.4747009277,-99.0885009766"
1091,20200428,2020-05-19 18:00:04,-99.13860321044922,0,8,2,61,0,718,9740043,19.491899490356445,"19.4918994904,-99.1386032104"
1101,20200428,2020-05-19 18:00:04,-99.19860076904297,0,13,2,61,0,728,9740419,19.510400772094727,"19.5104007721,-99.198600769"
1185,,2020-05-19 18:00:04,-99.19950103759766,2,0,2,,161,736,,19.506999969482422,"19.5069999695,-99.1995010376"
1112,20200428,2020-05-19 18:00:04,-99.1594009399414,0,1,2,61,0,759,9740199,19.496200561523438,"19.4962005615,-99.1594009399"
1122,20200428,2020-05-19 18:00:04,-99.06410217285156,0,8,2,61,308,769,9741259,19.469100952148438,"19.4691009521,-99.0641021729"
1130,20200428,2020-05-19 18:00:04,-99.08070373535156,0,6,2,61,0,782,9739615,19.467300415039062,"19.467300415,-99.0807037354"
1132,20200428,2020-05-19 18:00:04,-99.07029724121094,0,10,2,61,263,784,9739559,19.473499298095703,"19.4734992981,-99.0702972412"
702,20200428,2020-05-19 18:00:04,-99.11389923095703,0,5,1,171,0,802,9673172,19.48349952697754,"19.483499527,-99.113899231"
721,20200428,2020-05-19 18:00:04,-99.15019989013672,0,0,1,171,0,821,9673925,19.435199737548828,"19.4351997375,-99.1501998901"
730,20200428,2020-05-19 18:00:04,-99.15840148925781,0,7,1,171,0,830,9671822,19.431400299072266,"19.4314002991,-99.1584014893"
737,20200428,2020-05-19 18:00:04,-99.11799621582031,0,6,1,171,0,837,9672362,19.486799240112305,"19.4867992401,-99.1179962158"
745,20200428,2020-05-19 18:00:04,-99.12059783935547,0,0,2,171,1500,845,9672980,19.492799758911133,"19.4927997589,-99.1205978394"
754,20200428,2020-05-19 18:00:04,-99.11380004882812,0,0,2,171,534,906,9670893,19.487199783325195,"19.4871997833,-99.1138000488"
758,20200428,2020-05-19 18:00:04,-99.12090301513672,0,0,2,171,1549,910,9672717,19.493099212646484,"19.4930992126,-99.1209030151"
760,,2020-05-19 18:00:04,-99.19940185546875,2,0,2,,0,912,,19.426799774169922,"19.4267997742,-99.1994018555"
766,20200428,2020-05-19 18:00:04,-99.1614990234375,0,5,2,171,147,918,9674093,19.429800033569336,"19.4298000336,-99.1614990234"
770,,2020-05-19 18:00:04,-99.19969940185547,2,0,2,,377,922,,19.426799774169922,"19.4267997742,-99.1996994019"
788,20200428,2020-05-19 18:00:04,-99.12100219726562,0,0,1,171,0,940,9672609,19.49329948425293,"19.4932994843,-99.1210021973"
